Committee ID,Committee Name,Org type,Smaller Categories,Larger Categories,source,Connected Organization,country of origin
C00082792,ELI LILLY AND COMPANY POLITICAL ACTION COMMITTEE,C,Pharmaceutical,Health Care,https://www.lilly.com/our-medicines/current-medicines,ELI LILLY AND COMPANY,
C00082800,PACIFICORP - PACIFIC POWER/ROCKY MOUNTAIN POWER PAC,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/PPWLM/profile?p=PPWLM,PACIFICORP,
C00083535,DUKE ENERGY CORPORATION PAC,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/DUK/profile?p=DUK,DUKE ENERGY CORPORATION,
C00083758,NATIONAL FUEL GAS COMPANY FEDERAL POLITICAL ACTION COMMITTEE,C,Oil/Gas,Fossil Fuels,https://finance.yahoo.com/quote/NFG/profile?p=NFG,,
C00083832,IDA-PAC POLITICAL ACTION COMMITTEE,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/IDA/profile?p=IDA,NONE,
C00083857,OCCIDENTAL PETROLEUM CORPORATION POLITICAL ACTION COMMITTEE,C,Oil/Gas,Fossil Fuels,https://finance.yahoo.com/quote/OXY/profile?p=OXY,OCCIDENTAL PETROLEUM CORPORATION,
C00084475,3M COMPANY PAC,C,,Manufacturing,https://finance.yahoo.com/quote/MMM/profile?p=MMM,3M COMPANY,
C00084822,IHG OWNERS ASSOCIATION INN-PAC,W,Hotels,Travel & Leisure,https://finance.yahoo.com/quote/IHG/profile?p=IHG,"IHG OWNERS ASSOCIATION, INC",
C00084871,CELANESE CORPORATION POLITICAL ACTION COMMITTEE,C,,Chemicals,https://finance.yahoo.com/quote/CE/profile?p=CE,CELANESE CORPORATION,
C00085316,CIGNA CORPORATION POLITICAL ACTION COMMITTEE,C,Health Insurance,Health Care,,,
C00087155,FIRST FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,C,,Banking,,CITIZENS STATE BANK WOODVILLE TEXAS POLITICAL ACTION COMMITTEE,
C00087478,CINCINNATI BELL INC FEDERAL PAC,C,Telecom,Big Tech,https://finance.yahoo.com/quote/CBB/profile?p=CBB,CINCINNATI BELL INC,
C00087874,"CONAGRA BRANDS, INC. GOOD GOVERNMENT ASSOCIATION",C,,Food & Beverage,https://finance.yahoo.com/quote/CAG/profile?p=CAG,"CONAGRA BRANDS, INC.",
C00088435,RYDER SYSTEM INC. EMPLOYEES POLITICAL ACTION COMMITTEE,C,,Trucking,https://ryder.com/,RYDER SYSTEM INC.,
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,C,,Defense,https://finance.yahoo.com/quote/NOC/profile?p=NOC,NORTHROP GRUMMAN CORPORATION,
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",C,,Tobacco,https://finance.yahoo.com/quote/MO/profile?p=MO,ALTRIA GROUP INC.,
C00089342,"T-MOBILE US, INC./SPRINT CORPORATION POLITICAL ACTION COMMITTEE",C,Telecom,Big Tech,https://finance.yahoo.com/quote/TMUS/profile?p=TMUS,"T-MOBILE USA, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,C,,Food & Beverage,https://finance.yahoo.com/quote/WMT/profile?p=WMT,WALMART INC.,
C00093963,ARCHER DANIELS MIDLAND COMPANY-ADM PAC,C,,Food & Beverage,https://www.adm.com/our-company,ARCHER DANIELS MIDLAND COMPANY-ADM PAC,
C00094573,ELECT - THE PAC OF THE ALABAMA FARMERS FEDERATION,C,,Big Ag,https://alfafarmers.org/,ALABAMA FARMERS FEDERATION *,
C00094581,MUTUAL OF OMAHA COMPANIES PAC (IMPAC),C,Insurance,Wall Street,https://www.mutualofomaha.com/,MUTUAL OF OMAHA,
C00095117,GRAND TRUNK WESTERN RAILROAD CO. - ILLINOIS CENTRAL RAILROAD CO. PAC (GTW-IC PAC),C,Railroads,Travel & Leisure,,GRAND TRUNK WESTERN RAILROAD COMPANY,
C00096156,HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE,C,,Defense,https://finance.yahoo.com/quote/HON/profile?p=HON,HONEYWELL INTERNATIONAL,
C00096842,THE AMERICAN ELECTRIC POWER COMMITTEE FOR RESPONSIBLE GOVERNMENT,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/AEP/profile?p=AEP,AMERICAN ELECTRIC POWER,
C00097485,"MERCK & CO., INC., EMPLOYEES POLITICAL ACTION COMMITTEE (MERCK PAC)",C,Pharmaceutical,Health Care,https://www.merck.com/research-and-products/products-list/,"MERCK & CO., INC.",
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,C,,Defense,https://finance.yahoo.com/quote/RTX/profile?p=RTX,RAYTHEON TECHNOLOGIES CORPORATION,
C00097725,AMERICAN INTERNATIONAL GROUP INC. EMPLOYEE POLITICAL ACTION COMMITTEE,C,Insurance,Wall Street,https://finance.yahoo.com/quote/AIG/profile?p=AIG,AIG,
C00098061,TARGET CORPORATION CITIZENS POLITICAL FORUM (TARGETCITIZENS POLITICAL FORUM),C,,Food & Beverage,https://finance.yahoo.com/quote/TGT/profile?p=TGT,TARGET CORPORATION,
C00099945,WEC ENERGY GROUP PAC,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/WEC/profile?p=WEC,WEC ENERGY GROUP INC/INTEGRYS PAC,
C00100131,THE GOODYEAR TIRE & RUBBER COMPANY GOOD GOVERNMENT FUND (GOODYEAR GOOD GOVERNMENT FUND),C,,Auto,https://finance.yahoo.com/quote/GT/profile?p=GT,THE GOODYEAR TIRE & RUBBER COMPANY GOOD GOVERNMENT FUND (GOODYEAR GOOD GOVERNMENT FUND),
